[NNS] ||| not ||| nos ||| PPDB2.0Score=4.59347 PPDB1.0Score=17.576980 -logp(LHS|e1)=9.86342 -logp(LHS|e2)=1.83969 -logp(e1|LHS)=13.66477 -logp(e1|e2)=5.77934 -logp(e1|e2,LHS)=6.12672 -logp(e2|LHS)=11.65934 -logp(e2|e1)=11.79764 -logp(e2|e1,LHS)=4.12130 AGigaSim=0.02454 Abstract=0 Adjacent=0 CharCountDiff=0 CharLogCR=0 ContainsX=0 Equivalence=0.015133 Exclusion=0.002291 GlueRule=0 GoogleNgramSim=0.33111 Identity=0 Independent=0.737682 Lex(e1|e2)=62.61372 Lex(e2|e1)=62.61372 Lexical=1 LogCount=0.69315 MVLSASim=NA Monotonic=1 OtherRelated=0.007458 PhrasePenalty=1 RarityPenalty=0 ReverseEntailment=0.237435 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.98261 TargetFormality=0.98234 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=0 WordLogCR=0 ||| 0-0 ||| Independent
[VBN] ||| presented ||| represented ||| PPDB2.0Score=4.31201 PPDB1.0Score=12.075320 -logp(LHS|e1)=0.26957 -logp(LHS|e2)=0.33431 -logp(e1|LHS)=6.05706 -logp(e1|e2)=5.66985 -logp(e1|e2,LHS)=5.06027 -logp(e2|LHS)=6.85742 -logp(e2|e1)=6.40547 -logp(e2|e1,LHS)=5.86063 AGigaSim=0.89322 Abstract=0 Adjacent=0 CharCountDiff=2 CharLogCR=0.20067 ContainsX=0 Equivalence=0.060137 Exclusion=0.034707 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.620962 Lex(e1|e2)=60.19342 Lex(e2|e1)=60.19342 Lexical=1 LogCount=3.82864 MVLSASim=NA Monotonic=1 OtherRelated=0.005240 PhrasePenalty=1 RarityPenalty=0 ForwardEntailment=0.278954 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.99492 TargetFormality=0.99874 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=2.00000 WordLogCR=0 ||| 0-0 ||| Independent
[VBN] ||| present ||| represented ||| PPDB2.0Score=4.31201 PPDB1.0Score=16.981000 -logp(LHS|e1)=11.15060 -logp(LHS|e2)=0.33431 -logp(e1|LHS)=15.97261 -logp(e1|e2)=7.63995 -logp(e1|e2,LHS)=12.97381 -logp(e2|LHS)=6.85742 -logp(e2|e1)=9.34105 -logp(e2|e1,LHS)=3.85862 AGigaSim=0.33689 Abstract=0 Adjacent=0 CharCountDiff=4 CharLogCR=0.45199 ContainsX=0 Equivalence=0.060137 Exclusion=0.034707 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.620962 Lex(e1|e2)=63.30685 Lex(e2|e1)=63.30685 Lexical=1 LogCount=0 MVLSASim=NA Monotonic=1 OtherRelated=0.005240 PhrasePenalty=1 RarityPenalty=0.36788 ForwardEntailment=0.278954 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.99419 TargetFormality=0.99831 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=4.00000 WordLogCR=0 ||| 0-0 ||| Independent
[VBZ] ||| different ||| differs ||| PPDB2.0Score=4.30740 PPDB1.0Score=16.682420 -logp(LHS|e1)=10.27431 -logp(LHS|e2)=0.01680 -logp(e1|LHS)=14.88516 -logp(e1|e2)=5.77943 -logp(e1|e2,LHS)=7.59935 -logp(e2|LHS)=9.75120 -logp(e2|e1)=10.90299 -logp(e2|e1,LHS)=2.46539 AGigaSim=0.21910 Abstract=0 Adjacent=0 CharCountDiff=-2 CharLogCR=-0.25131 ContainsX=0 Equivalence=0.034443 Exclusion=0.003206 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.284569 Lex(e1|e2)=62.61372 Lex(e2|e1)=62.61372 Lexical=1 LogCount=0.69315 MVLSASim=NA Monotonic=1 OtherRelated=0.260028 PhrasePenalty=1 RarityPenalty=0.00248 ForwardEntailment=0.417754 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.97531 TargetFormality=0.96556 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-2.00000 WordLogCR=0 ||| 0-0 ||| ForwardEntailment
[VBD] ||| presented ||| represented ||| PPDB2.0Score=4.30395 PPDB1.0Score=14.056800 -logp(LHS|e1)=1.46496 -logp(LHS|e2)=1.27203 -logp(e1|LHS)=6.80682 -logp(e1|e2)=6.66059 -logp(e1|e2,LHS)=5.44390 -logp(e2|LHS)=7.34951 -logp(e2|e1)=7.39621 -logp(e2|e1,LHS)=5.98659 AGigaSim=0.89322 Abstract=0 Adjacent=0 CharCountDiff=2 CharLogCR=0.20067 ContainsX=0 Equivalence=0.050878 Exclusion=0.018508 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.585103 Lex(e1|e2)=60.33649 Lex(e2|e1)=60.33649 Lexical=1 LogCount=3.66356 MVLSASim=NA Monotonic=1 OtherRelated=0.009671 PhrasePenalty=1 RarityPenalty=0 ForwardEntailment=0.335840 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.99492 TargetFormality=0.99874 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=2.00000 WordLogCR=0 ||| 0-0 ||| Independent
[UH] ||| love ||| lovers ||| PPDB2.0Score=4.28483 PPDB1.0Score=15.483980 -logp(LHS|e1)=5.57974 -logp(LHS|e2)=3.90600 -logp(e1|LHS)=9.59031 -logp(e1|e2)=5.64627 -logp(e1|e2,LHS)=2.92162 -logp(e2|LHS)=12.10801 -logp(e2|e1)=9.83771 -logp(e2|e1,LHS)=5.43932 AGigaSim=0.25487 Abstract=0 Adjacent=0 CharCountDiff=2 CharLogCR=0.40547 ContainsX=0 Equivalence=0.051748 Exclusion=0.006857 GlueRule=0 GoogleNgramSim=0.09191 Identity=0 Independent=0.245568 Lex(e1|e2)=63.30685 Lex(e2|e1)=63.30685 Lexical=1 LogCount=0 MVLSASim=NA Monotonic=1 OtherRelated=0.378278 PhrasePenalty=1 RarityPenalty=0.36788 ForwardEntailment=0.317548 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.98608 TargetFormality=0.75693 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=2.00000 WordLogCR=0 ||| 0-0 ||| OtherRelated
[NN] ||| counting ||| count ||| PPDB2.0Score=4.27596 PPDB1.0Score=5.849240 -logp(LHS|e1)=1.09499 -logp(LHS|e2)=1.22627 -logp(e1|LHS)=12.15316 -logp(e1|e2)=3.57342 -logp(e1|e2,LHS)=2.85243 -logp(e2|LHS)=10.98684 -logp(e2|e1)=2.27582 -logp(e2|e1,LHS)=1.68611 AGigaSim=0.62486 Abstract=0 Adjacent=0 CharCountDiff=-3 CharLogCR=-0.47000 ContainsX=0 Equivalence=0.480764 Exclusion=0.000001 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.050595 Lex(e1|e2)=59.88918 Lex(e2|e1)=59.88918 Lexical=1 LogCount=4.15888 MVLSASim=NA Monotonic=1 OtherRelated=0.023955 PhrasePenalty=1 RarityPenalty=0 ForwardEntailment=0.444685 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.98667 TargetFormality=0.98417 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-3.00000 WordLogCR=0 ||| 0-0 ||| Equivalence
[VBD] ||| became ||| came ||| PPDB2.0Score=4.27506 PPDB1.0Score=10.809670 -logp(LHS|e1)=0.00385 -logp(LHS|e2)=0.00519 -logp(e1|LHS)=6.48869 -logp(e1|e2)=5.53090 -logp(e1|e2,LHS)=4.91362 -logp(e2|LHS)=6.23791 -logp(e2|e1)=5.27877 -logp(e2|e1,LHS)=4.66284 AGigaSim=0.47140 Abstract=0 Adjacent=0 CharCountDiff=-2 CharLogCR=-0.40547 ContainsX=0 Equivalence=0.032727 Exclusion=0.005198 GlueRule=0 GoogleNgramSim=0.08580 Identity=0 Independent=0.549645 Lex(e1|e2)=59.17175 Lex(e2|e1)=59.17175 Lexical=1 LogCount=4.89035 MVLSASim=NA Monotonic=1 OtherRelated=0.067573 PhrasePenalty=1 RarityPenalty=0 ReverseEntailment=0.344857 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.98450 TargetFormality=0.96932 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-2.00000 WordLogCR=0 ||| 0-0 ||| Independent
[NN] ||| singing ||| sing ||| PPDB2.0Score=4.25999 PPDB1.0Score=5.040460 -logp(LHS|e1)=0.67533 -logp(LHS|e2)=4.34778 -logp(e1|LHS)=12.51189 -logp(e1|e2)=2.79222 -logp(e1|e2,LHS)=1.77897 -logp(e2|LHS)=15.64034 -logp(e2|e1)=2.24824 -logp(e2|e1,LHS)=4.90742 AGigaSim=0.41643 Abstract=0 Adjacent=0 CharCountDiff=-3 CharLogCR=-0.55962 ContainsX=0 Equivalence=0.599485 Exclusion=0.000001 GlueRule=0 GoogleNgramSim=0.02454 Identity=0 Independent=0.010230 Lex(e1|e2)=62.61371 Lex(e2|e1)=62.61371 Lexical=1 LogCount=0.69315 MVLSASim=NA Monotonic=1 OtherRelated=0.049998 PhrasePenalty=1 RarityPenalty=0 ForwardEntailment=0.340285 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.98294 TargetFormality=0.89085 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-3.00000 WordLogCR=0 ||| 0-0 ||| Equivalence
[VBD] ||| different ||| differed ||| PPDB2.0Score=4.25695 PPDB1.0Score=12.946320 -logp(LHS|e1)=9.82803 -logp(LHS|e2)=0.13741 -logp(e1|LHS)=14.09986 -logp(e1|e2)=3.73878 -logp(e1|e2,LHS)=5.62226 -logp(e2|LHS)=9.87801 -logp(e2|e1)=9.20754 -logp(e2|e1,LHS)=1.40040 AGigaSim=0.17096 Abstract=0 Adjacent=0 CharCountDiff=-1 CharLogCR=-0.11778 ContainsX=0 Equivalence=0.057211 Exclusion=0.000795 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.289470 Lex(e1|e2)=62.20827 Lex(e2|e1)=62.20827 Lexical=1 LogCount=1.38629 MVLSASim=NA Monotonic=1 OtherRelated=0.215647 PhrasePenalty=1 RarityPenalty=0.00002 ForwardEntailment=0.436877 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.97531 TargetFormality=0.96556 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-1.00000 WordLogCR=0 ||| 0-0 ||| ForwardEntailment
[VBN] ||| representative ||| represented ||| PPDB2.0Score=4.24721 PPDB1.0Score=10.799180 -logp(LHS|e1)=6.87637 -logp(LHS|e2)=0.33431 -logp(e1|LHS)=11.60316 -logp(e1|e2)=4.50143 -logp(e1|e2,LHS)=6.34834 -logp(e2|LHS)=6.85742 -logp(e2|e1)=6.29775 -logp(e2|e1,LHS)=1.60260 AGigaSim=0.49290 Abstract=0 Adjacent=0 CharCountDiff=-3 CharLogCR=-0.24116 ContainsX=0 Equivalence=0.109500 Exclusion=0.001197 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.471983 Lex(e1|e2)=62.20827 Lex(e2|e1)=62.20827 Lexical=1 LogCount=1.60944 MVLSASim=NA Monotonic=1 OtherRelated=0.031713 PhrasePenalty=1 RarityPenalty=0 ForwardEntailment=0.385607 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.99240 TargetFormality=0.99945 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-3.00000 WordLogCR=0 ||| 0-0 ||| Independent
[RB] ||| precisely ||| exactly ||| PPDB2.0Score=4.24031 PPDB1.0Score=4.922840 -logp(LHS|e1)=0.00923 -logp(LHS|e2)=0.03236 -logp(e1|LHS)=7.41143 -logp(e1|e2)=2.54497 -logp(e1|e2,LHS)=2.08779 -logp(e2|LHS)=7.26747 -logp(e2|e1)=2.37787 -logp(e2|e1,LHS)=1.94383 AGigaSim=0.68954 Abstract=0 Adjacent=0 CharCountDiff=-2 CharLogCR=-0.25131 ContainsX=0 Equivalence=0.377682 Exclusion=0.004128 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.181934 Lex(e1|e2)=58.55333 Lex(e2|e1)=58.55333 Lexical=1 LogCount=5.63835 MVLSASim=NA Monotonic=1 OtherRelated=0.356380 PhrasePenalty=1 RarityPenalty=0 ReverseEntailment=0.079876 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.99448 TargetFormality=0.99957 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-2.00000 WordLogCR=0 ||| 0-0 ||| Equivalence
[VBD] ||| representative ||| represented ||| PPDB2.0Score=4.23915 PPDB1.0Score=10.312450 -logp(LHS|e1)=7.56111 -logp(LHS|e2)=1.27203 -logp(e1|LHS)=11.84228 -logp(e1|e2)=4.25807 -logp(e1|e2,LHS)=5.93550 -logp(e2|LHS)=7.34951 -logp(e2|e1)=6.05438 -logp(e2|e1,LHS)=1.44274 AGigaSim=0.49290 Abstract=0 Adjacent=0 CharCountDiff=-3 CharLogCR=-0.24116 ContainsX=0 Equivalence=0.090675 Exclusion=0.000607 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.432334 Lex(e1|e2)=61.80282 Lex(e2|e1)=61.80282 Lexical=1 LogCount=1.94591 MVLSASim=NA Monotonic=1 OtherRelated=0.054846 PhrasePenalty=1 RarityPenalty=0 ForwardEntailment=0.421537 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.99240 TargetFormality=0.99945 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-3.00000 WordLogCR=0 ||| 0-0 ||| Independent
[VBN] ||| representation ||| represented ||| PPDB2.0Score=4.23781 PPDB1.0Score=10.980120 -logp(LHS|e1)=8.60640 -logp(LHS|e2)=0.33431 -logp(e1|LHS)=15.19942 -logp(e1|e2)=5.52502 -logp(e1|e2,LHS)=9.69799 -logp(e2|LHS)=6.85742 -logp(e2|e1)=5.45510 -logp(e2|e1,LHS)=1.35599 AGigaSim=0.30201 Abstract=0 Adjacent=0 CharCountDiff=-3 CharLogCR=-0.24116 ContainsX=0 Equivalence=0.028562 Exclusion=0.000353 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.488232 Lex(e1|e2)=63.30685 Lex(e2|e1)=63.30685 Lexical=1 LogCount=0 MVLSASim=NA Monotonic=1 OtherRelated=0.029876 PhrasePenalty=1 RarityPenalty=0.04979 ForwardEntailment=0.452978 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.99470 TargetFormality=0.99892 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-3.00000 WordLogCR=0 ||| 0-0 ||| Independent
