[NNS] ||| not ||| nos ||| PPDB2.0Score=4.59347 PPDB1.0Score=17.576980 -logp(LHS|e1)=9.86342 -logp(LHS|e2)=1.83969 -logp(e1|LHS)=13.66477 -logp(e1|e2)=5.77934 -logp(e1|e2,LHS)=6.12672 -logp(e2|LHS)=11.65934 -logp(e2|e1)=11.79764 -logp(e2|e1,LHS)=4.12130 AGigaSim=0.02454 Abstract=0 Adjacent=0 CharCountDiff=0 CharLogCR=0 ContainsX=0 Equivalence=0.015133 Exclusion=0.002291 GlueRule=0 GoogleNgramSim=0.33111 Identity=0 Independent=0.737682 Lex(e1|e2)=62.61372 Lex(e2|e1)=62.61372 Lexical=1 LogCount=0.69315 MVLSASim=NA Monotonic=1 OtherRelated=0.007458 PhrasePenalty=1 RarityPenalty=0 ReverseEntailment=0.237435 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.98261 TargetFormality=0.98234 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=0 WordLogCR=0 ||| 0-0 ||| Independent
[NN] ||| singing ||| sing ||| PPDB2.0Score=4.25999 PPDB1.0Score=5.040460 -logp(LHS|e1)=0.67533 -logp(LHS|e2)=4.34778 -logp(e1|LHS)=12.51189 -logp(e1|e2)=2.79222 -logp(e1|e2,LHS)=1.77897 -logp(e2|LHS)=15.64034 -logp(e2|e1)=2.24824 -logp(e2|e1,LHS)=4.90742 AGigaSim=0.41643 Abstract=0 Adjacent=0 CharCountDiff=-3 CharLogCR=-0.55962 ContainsX=0 Equivalence=0.599485 Exclusion=0.000001 GlueRule=0 GoogleNgramSim=0.02454 Identity=0 Independent=0.010230 Lex(e1|e2)=62.61371 Lex(e2|e1)=62.61371 Lexical=1 LogCount=0.69315 MVLSASim=NA Monotonic=1 OtherRelated=0.049998 PhrasePenalty=1 RarityPenalty=0 ForwardEntailment=0.340285 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.98294 TargetFormality=0.89085 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-3.00000 WordLogCR=0 ||| 0-0 ||| Equivalence
[VBD] ||| different ||| differed ||| PPDB2.0Score=4.25695 PPDB1.0Score=12.946320 -logp(LHS|e1)=9.82803 -logp(LHS|e2)=0.13741 -logp(e1|LHS)=14.09986 -logp(e1|e2)=3.73878 -logp(e1|e2,LHS)=5.62226 -logp(e2|LHS)=9.87801 -logp(e2|e1)=9.20754 -logp(e2|e1,LHS)=1.40040 AGigaSim=0.17096 Abstract=0 Adjacent=0 CharCountDiff=-1 CharLogCR=-0.11778 ContainsX=0 Equivalence=0.057211 Exclusion=0.000795 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.289470 Lex(e1|e2)=62.20827 Lex(e2|e1)=62.20827 Lexical=1 LogCount=1.38629 MVLSASim=NA Monotonic=1 OtherRelated=0.215647 PhrasePenalty=1 RarityPenalty=0.00002 ForwardEntailment=0.436877 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.97531 TargetFormality=0.96556 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-1.00000 WordLogCR=0 ||| 0-0 ||| ForwardEntailment
[RB] ||| precisely ||| exactly ||| PPDB2.0Score=4.24031 PPDB1.0Score=4.922840 -logp(LHS|e1)=0.00923 -logp(LHS|e2)=0.03236 -logp(e1|LHS)=7.41143 -logp(e1|e2)=2.54497 -logp(e1|e2,LHS)=2.08779 -logp(e2|LHS)=7.26747 -logp(e2|e1)=2.37787 -logp(e2|e1,LHS)=1.94383 AGigaSim=0.68954 Abstract=0 Adjacent=0 CharCountDiff=-2 CharLogCR=-0.25131 ContainsX=0 Equivalence=0.377682 Exclusion=0.004128 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.181934 Lex(e1|e2)=58.55333 Lex(e2|e1)=58.55333 Lexical=1 LogCount=5.63835 MVLSASim=NA Monotonic=1 OtherRelated=0.356380 PhrasePenalty=1 RarityPenalty=0 ReverseEntailment=0.079876 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.99448 TargetFormality=0.99957 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-2.00000 WordLogCR=0 ||| 0-0 ||| Equivalence
[VBZ] ||| differs ||| different ||| PPDB2.0Score=4.20071 PPDB1.0Score=16.682420 -logp(LHS|e1)=0.01680 -logp(LHS|e2)=10.27431 -logp(e1|LHS)=9.75120 -logp(e1|e2)=10.90299 -logp(e1|e2,LHS)=2.46539 -logp(e2|LHS)=14.88516 -logp(e2|e1)=5.77943 -logp(e2|e1,LHS)=7.59935 AGigaSim=0.21910 Abstract=0 Adjacent=0 CharCountDiff=2 CharLogCR=0.25131 ContainsX=0 Equivalence=0.034443 Exclusion=0.003206 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.284569 Lex(e1|e2)=62.61372 Lex(e2|e1)=62.61372 Lexical=1 LogCount=0.69315 MVLSASim=NA Monotonic=1 OtherRelated=0.260028 PhrasePenalty=1 RarityPenalty=0.00248 ReverseEntailment=0.417754 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.99388 TargetFormality=0.99729 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=2.00000 WordLogCR=0 ||| 0-0 ||| ReverseEntailment
[VBD] ||| came ||| became ||| PPDB2.0Score=4.18629 PPDB1.0Score=10.809590 -logp(LHS|e1)=0.00519 -logp(LHS|e2)=0.00385 -logp(e1|LHS)=6.23791 -logp(e1|e2)=5.27873 -logp(e1|e2,LHS)=4.66284 -logp(e2|LHS)=6.48869 -logp(e2|e1)=5.53086 -logp(e2|e1,LHS)=4.91363 AGigaSim=0.47140 Abstract=0 Adjacent=0 CharCountDiff=2 CharLogCR=0.40547 ContainsX=0 Equivalence=0.032727 Exclusion=0.005198 GlueRule=0 GoogleNgramSim=0.08580 Identity=0 Independent=0.549645 Lex(e1|e2)=59.17178 Lex(e2|e1)=59.17178 Lexical=1 LogCount=4.89035 MVLSASim=NA Monotonic=1 OtherRelated=0.067573 PhrasePenalty=1 RarityPenalty=0 ForwardEntailment=0.344857 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.98383 TargetFormality=0.91808 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=2.00000 WordLogCR=0 ||| 0-0 ||| Independent
[RB] ||| exactly ||| precisely ||| PPDB2.0Score=4.17874 PPDB1.0Score=4.922820 -logp(LHS|e1)=0.03236 -logp(LHS|e2)=0.00923 -logp(e1|LHS)=7.26747 -logp(e1|e2)=2.37786 -logp(e1|e2,LHS)=1.94382 -logp(e2|LHS)=7.41143 -logp(e2|e1)=2.54496 -logp(e2|e1,LHS)=2.08778 AGigaSim=0.68954 Abstract=0 Adjacent=0 CharCountDiff=2 CharLogCR=0.25131 ContainsX=0 Equivalence=0.377682 Exclusion=0.004128 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.181934 Lex(e1|e2)=58.55333 Lex(e2|e1)=58.55333 Lexical=1 LogCount=5.63835 MVLSASim=NA Monotonic=1 OtherRelated=0.356380 PhrasePenalty=1 RarityPenalty=0 ForwardEntailment=0.079876 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.98186 TargetFormality=0.89542 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=2.00000 WordLogCR=0 ||| 0-0 ||| Equivalence
[VBD] ||| differed ||| different ||| PPDB2.0Score=4.15026 PPDB1.0Score=12.946340 -logp(LHS|e1)=0.13741 -logp(LHS|e2)=9.82803 -logp(e1|LHS)=9.87801 -logp(e1|e2)=9.20755 -logp(e1|e2,LHS)=1.40038 -logp(e2|LHS)=14.09986 -logp(e2|e1)=3.73879 -logp(e2|e1,LHS)=5.62224 AGigaSim=0.17096 Abstract=0 Adjacent=0 CharCountDiff=1 CharLogCR=0.11778 ContainsX=0 Equivalence=0.057211 Exclusion=0.000795 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.289470 Lex(e1|e2)=62.20827 Lex(e2|e1)=62.20827 Lexical=1 LogCount=1.38629 MVLSASim=NA Monotonic=1 OtherRelated=0.215647 PhrasePenalty=1 RarityPenalty=0.00002 ReverseEntailment=0.436877 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.99598 TargetFormality=0.95337 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=1.00000 WordLogCR=0 ||| 0-0 ||| ReverseEntailment
[VBN] ||| performance ||| performed ||| PPDB2.0Score=4.10589 PPDB1.0Score=15.331340 -logp(LHS|e1)=8.29711 -logp(LHS|e2)=0.21786 -logp(e1|LHS)=13.51587 -logp(e1|e2)=6.61495 -logp(e1|e2,LHS)=8.75002 -logp(e2|LHS)=7.53807 -logp(e2|e1)=8.71639 -logp(e2|e1,LHS)=2.77222 AGigaSim=0.56573 Abstract=0 Adjacent=0 CharCountDiff=-2 CharLogCR=-0.20067 ContainsX=0 Equivalence=0.055765 Exclusion=0.000772 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.363385 Lex(e1|e2)=62.20827 Lex(e2|e1)=62.20827 Lexical=1 LogCount=1.38629 MVLSASim=NA Monotonic=1 OtherRelated=0.377994 PhrasePenalty=1 RarityPenalty=0 ReverseEntailment=0.202084 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.99412 TargetFormality=0.99345 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-2.00000 WordLogCR=0 ||| 0-0 ||| OtherRelated
[VBD] ||| performance ||| performed ||| PPDB2.0Score=4.09783 PPDB1.0Score=15.556820 -logp(LHS|e1)=7.64776 -logp(LHS|e2)=1.67916 -logp(e1|LHS)=12.42090 -logp(e1|e2)=6.72769 -logp(e1|e2,LHS)=6.43581 -logp(e2|LHS)=8.55375 -logp(e2|e1)=8.82913 -logp(e2|e1,LHS)=2.56866 AGigaSim=0.56573 Abstract=0 Adjacent=0 CharCountDiff=-2 CharLogCR=-0.20067 ContainsX=0 Equivalence=0.047621 Exclusion=0.000404 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.343757 Lex(e1|e2)=62.39058 Lex(e2|e1)=62.39058 Lexical=1 LogCount=1.09861 MVLSASim=NA Monotonic=1 OtherRelated=0.373642 PhrasePenalty=1 RarityPenalty=0 ReverseEntailment=0.234576 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.99412 TargetFormality=0.99345 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-2.00000 WordLogCR=0 ||| 0-0 ||| OtherRelated
[VBN] ||| performed ||| performances ||| PPDB2.0Score=4.07770 PPDB1.0Score=14.005320 -logp(LHS|e1)=0.21786 -logp(LHS|e2)=7.52510 -logp(e1|LHS)=7.53807 -logp(e1|e2)=6.23628 -logp(e1|e2,LHS)=0.88239 -logp(e2|LHS)=16.37807 -logp(e2|e1)=7.76904 -logp(e2|e1,LHS)=9.72239 AGigaSim=0.46054 Abstract=0 Adjacent=0 CharCountDiff=3 CharLogCR=0.28768 ContainsX=0 Equivalence=0.139204 Exclusion=0.004182 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.401778 Lex(e1|e2)=62.90141 Lex(e2|e1)=62.90141 Lexical=1 LogCount=0 MVLSASim=NA Monotonic=1 OtherRelated=0.359053 PhrasePenalty=1 RarityPenalty=0.36788 ForwardEntailment=0.095783 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.99037 TargetFormality=0.99317 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=3.00000 WordLogCR=0 ||| 0-0 ||| Independent
[JJ] ||| largest-ever ||| largest ||| PPDB2.0Score=4.07247 PPDB1.0Score=18.353290 -logp(LHS|e1)=0.06899 -logp(LHS|e2)=8.55637 -logp(e1|LHS)=15.74399 -logp(e1|e2)=13.07376 -logp(e1|e2,LHS)=10.02780 -logp(e2|LHS)=16.43713 -logp(e2|e1)=5.27953 -logp(e2|e1,LHS)=10.72094 AGigaSim=0.51410 Abstract=0 Adjacent=0 CharCountDiff=-5 CharLogCR=-0.53900 ContainsX=0 Equivalence=0.154027 Exclusion=0.004708 GlueRule=0 GoogleNgramSim=0.08580 Identity=0 Independent=0.382406 Lex(e1|e2)=62.90141 Lex(e2|e1)=62.90141 Lexical=1 LogCount=0 MVLSASim=NA Monotonic=1 OtherRelated=0.404926 PhrasePenalty=1 RarityPenalty=0.36788 ReverseEntailment=0.053934 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.98747 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-5.00000 WordLogCR=0 ||| 0-0 ||| OtherRelated
[JJ] ||| highest-level ||| highest ||| PPDB2.0Score=4.07087 PPDB1.0Score=14.641650 -logp(LHS|e1)=0.04609 -logp(LHS|e2)=5.14085 -logp(e1|LHS)=14.41275 -logp(e1|e2)=10.58888 -logp(e1|e2,LHS)=8.38345 -logp(e2|LHS)=12.97140 -logp(e2|e1)=4.05277 -logp(e2|e1,LHS)=6.94209 AGigaSim=0.51410 Abstract=0 Adjacent=0 CharCountDiff=-6 CharLogCR=-0.61904 ContainsX=0 Equivalence=0.044589 Exclusion=0.000212 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.352607 Lex(e1|e2)=62.39060 Lex(e2|e1)=62.39060 Lexical=1 LogCount=0.69315 MVLSASim=NA Monotonic=1 OtherRelated=0.193569 PhrasePenalty=1 RarityPenalty=0.00674 ForwardEntailment=0.409022 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.98339 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-6.00000 WordLogCR=0 ||| 0-0 ||| ForwardEntailment
[VBN] ||| performances ||| performed ||| PPDB2.0Score=4.07018 PPDB1.0Score=14.005320 -logp(LHS|e1)=7.52510 -logp(LHS|e2)=0.21786 -logp(e1|LHS)=16.37807 -logp(e1|e2)=7.76904 -logp(e1|e2,LHS)=9.72239 -logp(e2|LHS)=7.53807 -logp(e2|e1)=6.23628 -logp(e2|e1,LHS)=0.88239 AGigaSim=0.46054 Abstract=0 Adjacent=0 CharCountDiff=-3 CharLogCR=-0.28768 ContainsX=0 Equivalence=0.139204 Exclusion=0.004182 GlueRule=0 GoogleNgramSim=0 Identity=0 Independent=0.401778 Lex(e1|e2)=62.90141 Lex(e2|e1)=62.90141 Lexical=1 LogCount=0 MVLSASim=NA Monotonic=1 OtherRelated=0.359053 PhrasePenalty=1 RarityPenalty=0.36788 ReverseEntailment=0.095783 SourceTerminalsButNoTarget=0 SourceWords=1 TargetComplexity=0.99449 TargetFormality=0.98464 TargetTerminalsButNoSource=0 TargetWords=1 UnalignedSource=0 UnalignedTarget=0 WordCountDiff=0 WordLenDiff=-3.00000 WordLogCR=0 ||| 0-0 ||| Independent
